Asset,Strategy,Feature Set,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Train Signal Accuracy,Train Signal Precision,Train Signal Recall,Test Sharpe,Test Volatility,Test Max DD,Test Signal Accuracy,Test Signal Precision,Test Signal Recall
AAPL,Momentum,,14.0,,1.416952112460717,0.19951891607476904,-0.3131565092371739,0.5258669698692439,0.5439068100358423,0.6512875536480687,1.2126678703323306,0.17452594171808655,-0.1692091109047589,0.5324503311258278,0.5653104925053534,0.6376811594202898
AAPL,Mean Reversion,,4.0,2.0,1.0283006588814925,0.13639848155568873,-0.1182186308544914,0.48493462194428655,0.5855263157894737,0.09549356223175966,-0.20900597522253947,0.11827368982439691,-0.23541852170699498,0.4503311258278146,0.4897959183673469,0.057971014492753624
AAPL,Momentum + Trend Strength,,10.0,,1.197056985480501,0.15106099825150304,-0.14457830172490552,0.5093803297328028,0.5455746367239102,0.44313304721030045,1.0269260466850874,0.12093683711278715,-0.12367034338324677,0.4900662251655629,0.546031746031746,0.41545893719806765
AAPL,Momentum + Rolling Volatility,,14.0,2.0,1.686843779544191,0.15712059573501738,-0.11890264544193456,0.5224559408754974,0.5521541950113379,0.5225321888412017,1.0016415002057812,0.16304889007203874,-0.170031852506305,0.5099337748344371,0.5516431924882629,0.5676328502415459
AAPL,Momentum + Volume Ratio,,20.0,,1.2301801386439146,0.1354029681662888,-0.14140026685463394,0.49573621375781696,0.5552825552825553,0.24248927038626608,0.7827933501075038,0.11837094381848642,-0.1450553682496636,0.47019867549668876,0.5416666666666666,0.21980676328502416
AAPL,Logistic Regression,v1,,,0.9189254240907438,0.29888138941575954,-0.3872969450862449,0.5258669698692439,0.5286549707602339,0.9699570815450643,1.1380877286781583,0.25662212952318614,-0.3343370956600402,0.5496688741721855,0.5490716180371353,1.0
AAPL,Random Forest,v1,,,9.2423707753054,0.18949306286588324,0.0,0.9840818646958499,1.0,0.9699570815450643,1.5443026442761403,0.20813673865458712,-0.14267113164860065,0.5443708609271524,0.5738396624472574,0.6570048309178744
MSFT,Momentum,,36.0,,0.6744189892364754,0.18949984253626376,-0.23535109346454675,0.5230244457077885,0.5402843601895735,0.7268862911795961,0.9497691507613466,0.17527570060071512,-0.17470794065001669,0.48874172185430464,0.5235042735042735,0.6004901960784313
MSFT,Mean Reversion,,4.0,2.0,1.1748567769306741,0.1278957834807827,-0.11143713729210032,0.4764070494599204,0.5793650793650794,0.077577045696068,0.38950787078372695,0.06541421233859764,-0.059274266501249305,0.4609271523178808,0.5128205128205128,0.049019607843137254
MSFT,Momentum + Trend Strength,,36.0,,0.7120304146249717,0.17778224117125088,-0.2895724032867566,0.5224559408754974,0.543572044866264,0.6695005313496281,0.9262098410937155,0.15361870100644323,-0.14518514714906336,0.4821192052980132,0.5206812652068127,0.5245098039215687
