Asset,Strategy,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Test Sharpe,Test Volatility,Test Max DD
AAPL,Momentum,14,,1.4442218548071952,0.19946115596600764,-0.3109433800479211,1.2453519982383943,0.17475400611295153,-0.16920910334525444
AAPL,Mean Reversion,18,6.0,1.071533145964369,0.13802236781922125,-0.11267121791674595,0.13736727059403858,0.11251945275142838,-0.177332597811932
AAPL,Momentum + Trend Strength,10,,1.2613074425522774,0.15107186829580438,-0.14457792782357445,1.068094818556564,0.1212137926670851,-0.11590428454765875
AAPL,Momentum + Rolling Volatility,14,2.0,1.70182870842167,0.1570496460907266,-0.11890319006662696,1.0350402616833474,0.1631238684985939,-0.17003168638787383
AAPL,Momentum + Volume Ratio,20,,1.2339388275629142,0.13537885472701264,-0.14140002842140648,0.696563058115139,0.11956717197663613,-0.17001101705641722
MSFT,Momentum,36,,0.6819899536464701,0.19196969887056645,-0.24086560874109436,0.9522870183719315,0.1753743672793792,-0.17861492014689784
MSFT,Mean Reversion,4,2.0,1.1748564452401058,0.127895639514397,-0.11143735833087955,0.3998712939769864,0.06525412816474613,-0.05751356386690872
MSFT,Momentum + Trend Strength,36,,0.7440735762076812,0.17979201976476508,-0.29437057585787174,0.933073082018941,0.15372558446378337,-0.1451852754991261
MSFT,Momentum + Rolling Volatility,38,2.0,1.0322955721183573,0.1659876940325847,-0.16284559990390743,0.602394065835427,0.16556108667783762,-0.18675509920564426
MSFT,Momentum + Volume Ratio,36,,0.43224369472739144,0.1428973970036378,-0.20974082852804043,0.27669476722049263,0.13178194445324104,-0.21051723911661027
SPY,Momentum,12,,1.0620917922678812,0.10906237242453944,-0.137084034619055,1.6132968818976192,0.09221757401514483,-0.07961436673372499
SPY,Mean Reversion,4,4.0,0.7076633155458942,0.05653251476082797,-0.0255683060073518,-0.6398295342287457,0.009105836709733165,-0.01741598427174118
SPY,Momentum + Trend Strength,10,,0.8807904368327524,0.07932294635220483,-0.11856338058862,0.797274796392305,0.07604194543217241,-0.07762934165092442
SPY,Momentum + Rolling Volatility,12,6.0,1.088492480245399,0.10883737871504681,-0.1370840346190545,1.6132968818976192,0.09221757401514483,-0.07961436673372499
SPY,Momentum + Volume Ratio,24,,0.6537935086088941,0.06786189377269043,-0.09823948726823571,1.291319999721698,0.06426658220451806,-0.05033617661022394
NVDA,Momentum,12,,1.188314680854883,0.3385758000420649,-0.3966201876258287,1.4726538089347552,0.37193579204835137,-0.40566939510025707
NVDA,Mean Reversion,6,8.0,0.9627497953491347,0.12083194439221559,-0.11999016200223425,1.2773975879289312,0.10502283334111763,-0.01657408797690316
NVDA,Momentum + Trend Strength,40,,0.9906142739547622,0.34786973207803096,-0.4478617036209357,1.435009463492989,0.3556758029641207,-0.28180510352352645
NVDA,Momentum + Rolling Volatility,20,4.0,1.3111173301420285,0.32852229226537233,-0.3034010496066589,1.1704205976541138,0.3654139209429558,-0.4018915004408874
NVDA,Momentum + Volume Ratio,48,,1.0101631399317157,0.28466681051609205,-0.3375379722166728,1.778369850115931,0.29681523856703745,-0.14159971725626247
TTD,Momentum,2,,0.9426585056845151,0.5313169915481444,-0.5194491355477443,0.4480129236106079,0.4239908586788044,-0.5806432581840302
TTD,Mean Reversion,24,8.0,0.9583891541660194,0.34647523848524664,-0.42915316784328206,-0.07560085836381895,0.22536626477142238,-0.345825178827908
TTD,Momentum + Trend Strength,22,,0.529245950599061,0.44639425450514586,-0.5433558765031842,-0.5006548946208262,0.3379381056003932,-0.6173643163240309
